* PowderSprgsNews, 217469130 - Inactive
* Publici, 19034656 - Active

* SightlineMedia, 195726858 - Active

* news10, 14637199 - Active

* PDChina, 303862998 - Active

* bcbeat, 14705027 - Active

* TheBondBuyer, 45893454 - Active

* elperiodico, 198829810 - Active

* cnsnews, 34927577 - Active

* axios, 800707492346925056 - Active

* EBAmagazine, 90649160 - Active

* Bankrate, 104509652 - Active

* badischezeitung, 14136293 - Active

* TheFiscalTimes, 95687597 - Active

* cspan, 15675138 - Active

* AINonline, 26333067 - Active

* CorpCrimeReport, 20713331 - Active

* yleeurovision, 29423680 - Active

* AsiaTodayNews, 162148752 - Active

* BreitbartNews, 457984599 - Active

* AztecaAmerica, 23243934 - Active

* Eater, 26329195 - Active

* BETNews, 226299107 - Active

* CoxComm, 103637045 - Active

* CreatorsNation, 50368464 - Active

* ForeignPolicy, 26792275 - Active

* chronicle, 12413032 - Active

* FCWnow, 17230113 - Active

* WinstedJournal, 70528403 - Inactive

* DrexelTriangle, 15129603 - Active

* whitmanpio, 776619757386608640 - Inactive

* FCNEJournal, 3028774833 - Inactive

* TrumpetNews, 21795790 - Active

* BillForry, 27939908 - Active

* CBSNewsRadio, 24362769 - Active

* DailyNewsSun, 2657559384 - Active

* ZuMediaAPU, 75226445 - Active

* craig_press, 22484884 - Active

* Nlvlac, 826465352313950208 - Inactive

* middcampus, 36192396 - Active

* DiaADiaNews1, 206209833 - Active

* POLITICOvideo, 218542998 - Inactive

* GazeboGazette, 70749114 - Active

* mmaynardkt, 66603988 - Active

* ICollegian, 145297595 - Active

* ExcelsiorSC, 173999061 - Active

* HeraldSunEditor, 55018922 - Active

* StevensCoTimes, 15428256 - Active

* CurrentTimeTv, 2797763208 - Active

* SvobodaRadio, 47562921 - Active

* Marysville_News, 36775022 - Active

* LouisvilleMag, 11263532 - Active

* DecodeDC, 605178330 - Active

* ProSyn, 46671396 - Active

* AlArabiya_Eng, 22240612 - Active

* TheFive, 334053327 - Active

* GovMattersTV, 1630979022 - Active

* hereandnow, 94391895 - Active

* democracynow, 16935292 - Active

* SXMPOTUS, 344864408 - Active

* dailybeast, 16013028 - Active

* lawfareblog, 186755547 - Active

* Gallup, 546029429 - Active

* CivilEats, 185809250 - Active

* DailySignal, 2361224263 - Active

* reuterspictures, 14584903 - Active

* outsidemagazine, 17810254 - Active

* 11thHour, 771388593130483712 - Active

* atlanticcities, 2352223932 - Active

* nytgraphics, 86640232 - Active

* AmericaNewsroom, 312800783 - Active

* onthemedia, 16469809 - Active

* AJELive, 2673523800 - Active

* the_intercept, 719972682322853888 - Active

* oreillyfactor, 50113613 - Active

* HuffPostBiz, 27073265 - Active

* CharlieRoseShow, 19079396 - Active

* HuffPostCollege, 101896529 - Active

* Jerusalem_Post, 19489239 - Active

* FDRLST, 1408003598 - Active

* BleacherReport, 890891 - Active

* hechingerreport, 121537720 - Active

* BBCNewshour, 30835585 - Active

* nprfreshair, 13783772 - Active

* bsurveillance, 34681960 - Active

* ModFarm, 944467345 - Active

* ARLnowDOTcom, 108204138 - Active

* Marketplace, 57741304 - Active

* HouseFloor, 7402662 - Active

* engadget, 14372486 - Active

* BoingBoing, 5971922 - Active

* smerconish, 22677427 - Active

* SputnikInt, 34262462 - Active

* J_Insider, 626533732 - Active

* wcbs880, 16760131 - Active

* Bravotv, 15169907 - Active

* POLITICOPulse, 574801561 - Active

* NBCOlympics, 14955353 - Active

* ABCRadio, 525746551 - Active

* KPCC, 12804312 - Active

* TaskandPurpose, 2374466929 - Active

* nytimesworld, 1877831 - Active

* rollcallpols, 15918708 - Active

* MarshallProj, 2216041938 - Active

* Legal_Times, 18959163 - Active

* DecisionDeskHQ, 918169628 - Active

* statelocal, 760501643590963200 - Active

* SAI, 8841372 - Active

* Esquiremag, 3174214732 - Active

* NewsChannel8, 250556430 - Active

* ICIJorg, 131935861 - Active

* ReutersUK, 17038090 - Active

* InTheCapital, 2882152233 - Active

* TimesofIsrael, 432557320 - Active

* washmonthly, 266715173 - Active

* sidewireinc, 2813605170 - Active

* TheWeek, 16439471 - Active

* HappeningNow, 171154131 - Active

* NYTNow, 1872590082 - Active

* pitchfork, 14089195 - Active

* heatstreet, 4509306615 - Active

* hillhistorycast, 838868776292601860 - Active

* mcclatchy, 66809470 - Active

* PostTV, 14345778 - Active

* ToThePoint_KCRW, 80678758 - Active

* reason, 16467567 - Active

* cbsnewspath, 216759733 - Active

* amjoyshow, 731132367058968576 - Active

* HuffPostEnt, 22208192 - Active

* voguemagazine, 136361303 - Active

* BreakingNews, 6017542 - Active

* TheLeadCNN, 1176994477 - Active

* highline, 3031345253 - Active

* ABC7NY, 16715398 - Active

* insidehighered, 16045268 - Active

* CQConnectivity, 2409392576 - Active

* TheAtlanticWire, 1947084786 - Active

* ReliableSources, 547860279 - Active

* climate, 783719151684685824 - Active

* DuffelBlog, 539965863 - Active

* nprmusic, 13784592 - Active

* MorningTech, 158007643 - Active

* FishbowlDC, 14858000 - Active

* LivingSocial, 14773982 - Active

* TheLastWord, 182503471 - Active

